delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.413443304735921e-11 1.2068098256823312e-12 2.6461378227482513e-11 9.654089593719162e-13 1.3705789569939952e-05 50 15
5.526597929295107e-11 1.2579355959663197e-12 3.172784257543526e-11 8.187776628573729e-13 1.3712869986193255e-05 50 20
5.640489811331584e-11 1.1688443182084063e-12 3.701781589593445e-11 1.2088500773305144e-12 1.3717150068259798e-05 50 25
5.720395684916113e-11 9.316222923314021e-13 4.1688156399155574e-11 1.216932912946611e-12 1.3720010429096874e-05 50 30
5.774852471218672e-11 9.652213923960762e-13 4.737280359656815e-11 1.474184706598547e-12 1.3721680261369329e-05 50 35
5.829193377993036e-11 9.426965501616036e-13 5.271267797257728e-11 2.025860165386084e-12 1.3722789844905492e-05 50 40
5.904472050177745e-11 9.017131117304567e-13 5.845740558285684e-11 2.1548166896645515e-12 1.3723540178034455e-05 50 45
5.836633260036805e-11 1.1140595824327137e-12 2.6174080264285138e-11 5.348149223829979e-13 1.257683015865041e-05 55 15
5.941337005710423e-11 9.209698975665148e-13 3.0969074527043006e-11 1.3153323916159643e-12 1.2584019714267924e-05 55 20
6.030529547951247e-11 8.932714594053759e-13 3.6657742813472893e-11 1.278906993328055e-12 1.2588559911819175e-05 55 25
6.10434341963284e-11 8.232596462182107e-13 4.253551330601901e-11 1.7497891156847967e-12 1.2591120139404666e-05 55 30
6.177108824445554e-11 8.388792048161231e-13 4.775839446136132e-11 1.8416392542908167e-12 1.2592890016094316e-05 55 35
6.239767730287227e-11 8.413360069389753e-13 5.335094171998733e-11 1.7504209887109212e-12 1.2594069630722515e-05 55 40
6.292025234166942e-11 7.811488543681133e-13 5.914859574351894e-11 2.432092071139036e-12 1.2594829968293197e-05 55 45
6.164069255021332e-11 9.676477284378815e-13 2.6652777207480938e-11 7.931091222136699e-13 1.159939984063385e-05 60 15
6.251274498048076e-11 1.11355022425208e-12 3.2221569162826924e-11 7.752001623083371e-13 1.1605879990383983e-05 60 20
6.371667082838428e-11 1.1888245379440554e-12 3.744597687482809e-11 1.305203015979084e-12 1.16094797704136e-05 60 25
6.458136803111358e-11 1.3707551803701645e-12 4.226383132355238e-11 1.3117635233247937e-12 1.161203999799909e-05 60 30
6.549374931275054e-11 1.3665530295900452e-12 4.802753680865912e-11 1.4080696244395119e-12 1.161360978585435e-05 60 35
6.647397216008599e-11 1.3489878701936076e-12 5.2920907239739634e-11 1.8471689022109272e-12 1.161462023446802e-05 60 40
6.713402056490736e-11 1.5106256089775227e-12 5.859510793237988e-11 2.017823408362318e-12 1.1615329640335403e-05 60 45
6.59985677220476e-11 1.3190119569489456e-12 2.6858879703661742e-11 5.444211162615453e-13 1.0771160305012017e-05 65 15
6.741655844688665e-11 1.2466763732454922e-12 3.123006714345067e-11 1.2542027963066693e-12 1.0777470379252918e-05 65 20
6.831464560708156e-11 1.00153706942413e-12 3.673891052491385e-11 1.0744078153199221e-12 1.0780860066006426e-05 65 25
