delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
2.9898892389690346e-11 1.2940459251029046e-12 2.766032888845693e-11 7.154975396883589e-13 1.3705789569939952e-05 50 15
3.7433233596173565e-11 1.7447055085384466e-12 3.3846564440054294e-11 1.2018825604892536e-12 1.3712869986193255e-05 50 20
4.446766219134979e-11 2.4075110394844446e-12 3.9611404434314323e-11 1.674132078625934e-12 1.3717150068259798e-05 50 25
5.1560949954065904e-11 2.4316770385474085e-12 4.562318231537965e-11 1.6678199619979406e-12 1.3720010429096874e-05 50 30
5.891191701135057e-11 2.4288958431345486e-12 5.2056040034109685e-11 1.9754798925158967e-12 1.3721680261369329e-05 50 35
6.595032159273373e-11 3.0533537937610378e-12 5.8102824634920225e-11 2.522918072372926e-12 1.3722789844905492e-05 50 40
7.320179185033027e-11 3.722801580896551e-12 6.446818079375305e-11 3.0752728922417427e-12 1.3723540178034455e-05 50 45
2.929931991468848e-11 1.0240981240111635e-12 2.789698333449664e-11 7.027570257493732e-13 1.257683015865041e-05 55 15
3.647860138955572e-11 1.7760645384945484e-12 3.333295792162794e-11 1.303268474042718e-12 1.2584019714267924e-05 55 20
4.3281791345384235e-11 2.2444181929648366e-12 3.905200468556913e-11 1.631011840343144e-12 1.2588559911819175e-05 55 25
5.0865218287343694e-11 2.3901119798608317e-12 4.5810334692308885e-11 1.8804528247040597e-12 1.2591120139404666e-05 55 30
5.778192160854623e-11 2.735109447954409e-12 5.185381984906812e-11 2.3674458660832842e-12 1.2592890016094316e-05 55 35
6.515948891561152e-11 3.2542122208739643e-12 5.828183075040627e-11 2.6754403813916694e-12 1.2594069630722515e-05 55 40
7.216013203636962e-11 3.1404674867563376e-12 6.454949769141294e-11 2.541361869209946e-12 1.2594829968293197e-05 55 45
2.8356650361160973e-11 2.037574102498052e-12 2.846888003116277e-11 1.1625260216280298e-12 1.159939984063385e-05 60 15
3.550934893348234e-11 1.6610703697933493e-12 3.471091122864145e-11 1.0378185940837503e-12 1.1605879990383983e-05 60 20
4.3175876068834995e-11 2.088132184524527e-12 4.110735710161073e-11 1.591154942179318e-12 1.16094797704136e-05 60 25
5.0082524932770767e-11 2.7479286207610087e-12 4.696640992785106e-11 1.9879967897568074e-12 1.161203999799909e-05 60 30
5.744714426381137e-11 2.800186298113072e-12 5.305294051294318e-11 1.8833708464310872e-12 1.161360978585435e-05 60 35
6.46250900016021e-11 3.0949511616723546e-12 5.931383856294659e-11 2.3346402935886523e-12 1.161462023446802e-05 60 40
