delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
7.876e-11 1.771e-11 2.329e-11 5.729e-12 10.5 0.1
9.612e-11 2.099e-11 3.641e-11 8.945e-12 10.5 1.809
1.459e-10 3.102e-11 8.63e-11 2.245e-11 10.5 7.808
2.386e-10 5.164e-11 1.82e-10 4.569e-11 10.5 19.26
3.82e-10 8.467e-11 3.28e-10 8.4e-11 10.5 37.11
5.797e-10 1.319e-10 5.351e-10 1.384e-10 10.5 62.15
8.413e-10 1.941e-10 8.081e-10 2.094e-10 10.5 95.1
1.133e-10 1.865e-11 2.32e-11 5.694e-12 109.3 0.1
1.308e-10 2.196e-11 3.638e-11 8.948e-12 109.3 1.809
1.811e-10 3.185e-11 8.63e-11 2.224e-11 109.3 7.808
2.741e-10 5.245e-11 1.823e-10 4.53e-11 109.3 19.26
4.171e-10 8.544e-11 3.279e-10 8.376e-11 109.3 37.11
6.063e-10 1.316e-10 5.345e-10 1.377e-10 109.3 62.15
8.68e-10 1.922e-10 8.06e-10 2.089e-10 109.3 95.1
2.15e-10 2.44e-11 2.685e-11 3.93e-12 408.8 0.1
2.328e-10 2.731e-11 3.881e-11 7.489e-12 408.8 1.809
2.828e-10 3.689e-11 8.561e-11 2.201e-11 408.8 7.808
3.747e-10 5.732e-11 1.825e-10 4.626e-11 408.8 19.26
5.184e-10 9.001e-11 3.298e-10 8.293e-11 408.8 37.11
7.149e-10 1.355e-10 5.357e-10 1.374e-10 408.8 62.15
9.766e-10 1.97e-10 8.074e-10 2.09e-10 408.8 95.1
3.465e-10 4.752e-11 4.298e-11 3.196e-12 878.5 0.1
3.696e-10 4.863e-11 5.367e-11 5.057e-12 878.5 1.809
4.232e-10 5.456e-11 9.096e-11 1.846e-11 878.5 7.808
5.131e-10 7.207e-11 1.812e-10 4.651e-11 878.5 19.26
6.539e-10 1.034e-10 3.312e-10 8.482e-11 878.5 37.11
8.548e-10 1.464e-10 5.394e-10 1.368e-10 878.5 62.15
1.117e-09 2.064e-10 8.104e-10 2.087e-10 878.5 95.1
4.697e-10 7.838e-11 6.136e-11 4.03e-12 1448.0 0.1
5e-10 7.92e-11 7.147e-11 6.523e-12 1448.0 1.809
5.618e-10 8.331e-11 1.071e-10 1.572e-11 1448.0 7.808
6.519e-10 9.625e-11 1.864e-10 4.303e-11 1448.0 19.26
7.897e-10 1.242e-10 3.302e-10 8.59e-11 1448.0 37.11
9.935e-10 1.694e-10 5.405e-10 1.394e-10 1448.0 62.15
1.255e-09 2.293e-10 8.142e-10 2.079e-10 1448.0 95.1
5.695e-10 1.09e-10 8.015e-11 6.289e-12 2020.0 0.1
6.062e-10 1.098e-10 9.054e-11 8.542e-12 2020.0 1.809
6.777e-10 1.133e-10 1.259e-10 1.453e-11 2020.0 7.808
7.72e-10 1.236e-10 1.974e-10 3.902e-11 2020.0 19.26
9.091e-10 1.476e-10 3.331e-10 8.368e-11 2020.0 37.11
1.115e-09 1.875e-10 5.397e-10 1.406e-10 2020.0 62.15
1.375e-09 2.452e-10 8.153e-10 2.107e-10 2020.0 95.1
6.37e-10 1.327e-10 9.699e-11 6.535e-12 2472.0 0.1
6.79e-10 1.335e-10 1.073e-10 7.435e-12 2472.0 1.809
7.578e-10 1.372e-10 1.4e-10 1.346e-11 2472.0 7.808
8.577e-10 1.47e-10 2.074e-10 3.725e-11 2472.0 19.26
9.959e-10 1.683e-10 3.379e-10 8.14e-11 2472.0 37.11
1.189e-09 2.039e-10 5.4e-10 1.397e-10 2472.0 62.15
1.447e-09 2.599e-10 8.14e-10 2.123e-10 2472.0 95.1
