delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.457e-11 1.764e-11 2.483e-11 5.906e-12 10.5 0.1
9.196e-11 1.903e-11 2.968e-11 7.117e-12 10.5 1.809
1.129e-10 2.335e-11 4.674e-11 1.18e-11 10.5 7.808
1.477e-10 3.091e-11 8.163e-11 2.181e-11 10.5 19.26
2.009e-10 4.34e-11 1.384e-10 3.513e-11 10.5 37.11
2.753e-10 6.105e-11 2.147e-10 5.465e-11 10.5 62.15
3.733e-10 8.39e-11 3.13e-10 8.147e-11 10.5 95.1
1.192e-10 1.842e-11 2.468e-11 5.946e-12 109.3 0.1
1.266e-10 1.989e-11 2.955e-11 7.138e-12 109.3 1.809
1.477e-10 2.414e-11 4.671e-11 1.179e-11 109.3 7.808
1.83e-10 3.171e-11 8.186e-11 2.168e-11 109.3 19.26
2.365e-10 4.417e-11 1.384e-10 3.542e-11 109.3 37.11
3.003e-10 6.146e-11 2.152e-10 5.477e-11 109.3 62.15
3.991e-10 8.419e-11 3.143e-10 8.123e-11 109.3 95.1
2.222e-10 2.269e-11 2.773e-11 4.305e-12 408.8 0.1
2.298e-10 2.398e-11 3.231e-11 5.673e-12 408.8 1.809
2.512e-10 2.806e-11 4.824e-11 1.082e-11 408.8 7.808
2.864e-10 3.559e-11 8.146e-11 2.118e-11 408.8 19.26
3.393e-10 4.792e-11 1.371e-10 3.626e-11 408.8 37.11
4.108e-10 6.501e-11 2.152e-10 5.568e-11 408.8 62.15
5.088e-10 8.862e-11 3.158e-10 8.064e-11 408.8 95.1
3.603e-10 4.193e-11 4.37e-11 3.018e-12 878.5 0.1
3.704e-10 4.253e-11 4.78e-11 3.824e-12 878.5 1.809
3.958e-10 4.449e-11 6.07e-11 7.077e-12 878.5 7.808
4.329e-10 4.982e-11 8.773e-11 1.734e-11 878.5 19.26
4.851e-10 6.067e-11 1.377e-10 3.455e-11 878.5 37.11
5.583e-10 7.486e-11 2.139e-10 5.583e-11 878.5 62.15
6.538e-10 9.735e-11 3.153e-10 8.318e-11 878.5 95.1
4.909e-10 6.826e-11 6.281e-11 3.972e-12 1448.0 0.1
5.045e-10 6.875e-11 6.653e-11 5.224e-12 1448.0 1.809
5.367e-10 7.039e-11 7.948e-11 8.117e-12 1448.0 7.808
5.793e-10 7.438e-11 1.049e-10 1.452e-11 1448.0 19.26
6.329e-10 8.211e-11 1.478e-10 2.966e-11 1448.0 37.11
7.1e-10 9.899e-11 2.182e-10 5.336e-11 1448.0 62.15
8.062e-10 1.205e-10 3.162e-10 8.327e-11 1448.0 95.1
5.977e-10 9.422e-11 8.233e-11 5.862e-12 2020.0 0.1
6.144e-10 9.475e-11 8.662e-11 7.165e-12 2020.0 1.809
6.534e-10 9.636e-11 1.006e-10 9.153e-12 2020.0 7.808
7.023e-10 9.988e-11 1.248e-10 1.349e-11 2020.0 19.26
7.603e-10 1.064e-10 1.63e-10 2.629e-11 2020.0 37.11
8.388e-10 1.188e-10 2.286e-10 4.855e-11 2020.0 62.15
9.337e-10 1.381e-10 3.197e-10 8.055e-11 2020.0 95.1
6.708e-10 1.14e-10 9.97e-11 5.723e-12 2472.0 0.1
6.9e-10 1.147e-10 1.04e-10 6.61e-12 2472.0 1.809
7.34e-10 1.162e-10 1.167e-10 7.752e-12 2472.0 7.808
7.877e-10 1.2e-10 1.394e-10 1.227e-11 2472.0 19.26
8.501e-10 1.266e-10 1.757e-10 2.477e-11 2472.0 37.11
9.235e-10 1.365e-10 2.396e-10 4.594e-11 2472.0 62.15
1.018e-09 1.538e-10 3.258e-10 7.718e-11 2472.0 95.1
