delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.219e-11 2.316e-11 2.488e-11 7.245e-12 10.5 0.1
1.149e-10 2.941e-11 5.231e-11 1.378e-11 10.5 1.809
2.141e-10 4.895e-11 1.551e-10 3.924e-11 10.5 7.808
4.011e-10 9.089e-11 3.466e-10 9.012e-11 10.5 19.26
6.889e-10 1.603e-10 6.473e-10 1.709e-10 10.5 37.11
1.093e-09 2.578e-10 1.07e-09 2.834e-10 10.5 62.15
1.623e-09 3.874e-10 1.625e-09 4.32e-10 10.5 95.1
1.17e-10 2.44e-11 2.484e-11 7.217e-12 109.3 0.1
1.499e-10 3.053e-11 5.24e-11 1.376e-11 109.3 1.809
2.497e-10 4.995e-11 1.555e-10 3.929e-11 109.3 7.808
4.367e-10 9.188e-11 3.465e-10 9e-11 109.3 19.26
7.247e-10 1.604e-10 6.461e-10 1.705e-10 109.3 37.11
1.121e-09 2.56e-10 1.067e-09 2.833e-10 109.3 62.15
1.654e-09 3.85e-10 1.624e-09 4.319e-10 109.3 95.1
2.194e-10 3.168e-11 2.82e-11 5.441e-12 408.8 0.1
2.526e-10 3.738e-11 5.338e-11 1.272e-11 408.8 1.809
3.513e-10 5.594e-11 1.549e-10 4.045e-11 408.8 7.808
5.39e-10 9.676e-11 3.483e-10 8.936e-11 408.8 19.26
8.282e-10 1.641e-10 6.47e-10 1.702e-10 408.8 37.11
1.227e-09 2.599e-10 1.068e-09 2.831e-10 408.8 62.15
1.756e-09 3.906e-10 1.623e-09 4.325e-10 408.8 95.1
3.541e-10 5.91e-11 4.346e-11 3.984e-12 878.5 0.1
3.938e-10 6.134e-11 6.422e-11 9.083e-12 878.5 1.809
4.922e-10 7.527e-11 1.544e-10 3.959e-11 878.5 7.808
6.763e-10 1.125e-10 3.498e-10 9.103e-11 878.5 19.26
9.663e-10 1.772e-10 6.502e-10 1.695e-10 878.5 37.11
1.371e-09 2.701e-10 1.072e-09 2.824e-10 878.5 62.15
1.9e-09 3.987e-10 1.627e-09 4.322e-10 878.5 95.1
4.833e-10 9.816e-11 6.103e-11 4.61e-12 1448.0 0.1
5.332e-10 9.912e-11 8.14e-11 9.341e-12 1448.0 1.809
6.365e-10 1.083e-10 1.615e-10 3.577e-11 1448.0 7.808
8.167e-10 1.393e-10 3.489e-10 9.248e-11 1448.0 19.26
1.104e-09 2.001e-10 6.537e-10 1.697e-10 1448.0 37.11
1.513e-09 2.909e-10 1.075e-09 2.815e-10 1448.0 62.15
2.043e-09 4.137e-10 1.628e-09 4.321e-10 1448.0 95.1
5.899e-10 1.379e-10 7.942e-11 6.754e-12 2020.0 0.1
6.495e-10 1.385e-10 1e-10 1.074e-11 2020.0 1.809
7.612e-10 1.45e-10 1.743e-10 3.201e-11 2020.0 7.808
9.406e-10 1.703e-10 3.509e-10 9.033e-11 2020.0 19.26
1.224e-09 2.251e-10 6.531e-10 1.729e-10 2020.0 37.11
1.64e-09 3.116e-10 1.078e-09 2.814e-10 2020.0 62.15
2.173e-09 4.306e-10 1.63e-09 4.306e-10 2020.0 95.1
6.629e-10 1.691e-10 9.604e-11 7.026e-12 2472.0 0.1
7.303e-10 1.698e-10 1.162e-10 9.314e-12 2472.0 1.809
8.505e-10 1.757e-10 1.851e-10 3.022e-11 2472.0 7.808
1.032e-09 1.973e-10 3.551e-10 8.858e-11 2472.0 19.26
1.313e-09 2.473e-10 6.528e-10 1.735e-10 2472.0 37.11
1.717e-09 3.31e-10 1.078e-09 2.841e-10 2472.0 62.15
2.25e-09 4.501e-10 1.634e-09 4.295e-10 2472.0 95.1
