delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.328e-11 1.959e-11 2.468e-11 6.464e-12 10.5 0.1
9.819e-11 2.266e-11 3.552e-11 9.292e-12 10.5 1.809
1.401e-10 3.167e-11 7.578e-11 2.083e-11 10.5 7.808
2.166e-10 4.956e-11 1.562e-10 4.094e-11 10.5 19.26
3.352e-10 7.864e-11 2.769e-10 7.406e-11 10.5 37.11
4.992e-10 1.188e-10 4.473e-10 1.218e-10 10.5 62.15
7.145e-10 1.729e-10 6.733e-10 1.846e-10 10.5 95.1
1.18e-10 2.05e-11 2.459e-11 6.431e-12 109.3 0.1
1.331e-10 2.357e-11 3.544e-11 9.258e-12 109.3 1.809
1.754e-10 3.25e-11 7.598e-11 2.07e-11 109.3 7.808
2.523e-10 5.048e-11 1.565e-10 4.089e-11 109.3 19.26
3.707e-10 7.891e-11 2.769e-10 7.413e-11 109.3 37.11
5.256e-10 1.183e-10 4.472e-10 1.217e-10 109.3 62.15
7.415e-10 1.724e-10 6.718e-10 1.84e-10 109.3 95.1
2.211e-10 2.571e-11 2.773e-11 4.763e-12 408.8 0.1
2.363e-10 2.856e-11 3.78e-11 7.951e-12 408.8 1.809
2.787e-10 3.726e-11 7.581e-11 2.029e-11 408.8 7.808
3.547e-10 5.494e-11 1.558e-10 4.216e-11 408.8 19.26
4.734e-10 8.365e-11 2.787e-10 7.384e-11 408.8 37.11
6.356e-10 1.228e-10 4.486e-10 1.211e-10 408.8 62.15
8.512e-10 1.769e-10 6.729e-10 1.833e-10 408.8 95.1
3.579e-10 4.775e-11 4.34e-11 3.38e-12 878.5 0.1
3.776e-10 4.882e-11 5.22e-11 5.295e-12 878.5 1.809
4.237e-10 5.423e-11 8.261e-11 1.647e-11 878.5 7.808
4.985e-10 6.939e-11 1.553e-10 4.125e-11 878.5 19.26
6.146e-10 9.668e-11 2.781e-10 7.588e-11 878.5 37.11
7.79e-10 1.342e-10 4.519e-10 1.213e-10 878.5 62.15
9.954e-10 1.867e-10 6.765e-10 1.831e-10 878.5 95.1
4.879e-10 7.825e-11 6.195e-11 4.337e-12 1448.0 0.1
5.137e-10 7.913e-11 7.028e-11 6.607e-12 1448.0 1.809
5.679e-10 8.286e-11 9.973e-11 1.437e-11 1448.0 7.808
6.445e-10 9.396e-11 1.629e-10 3.738e-11 1448.0 19.26
7.577e-10 1.181e-10 2.785e-10 7.556e-11 1448.0 37.11
9.272e-10 1.571e-10 4.517e-10 1.235e-10 1448.0 62.15
1.142e-09 2.089e-10 6.795e-10 1.837e-10 1448.0 95.1
5.942e-10 1.086e-10 8.111e-11 6.492e-12 2020.0 0.1
6.256e-10 1.094e-10 8.976e-11 8.521e-12 2020.0 1.809
6.891e-10 1.127e-10 1.194e-10 1.34e-11 2020.0 7.808
7.709e-10 1.216e-10 1.762e-10 3.342e-11 2020.0 19.26
8.847e-10 1.421e-10 2.833e-10 7.248e-11 2020.0 37.11
1.054e-09 1.769e-10 4.519e-10 1.236e-10 2020.0 62.15
1.268e-09 2.27e-10 6.79e-10 1.858e-10 2020.0 95.1
6.668e-10 1.32e-10 9.789e-11 6.084e-12 2472.0 0.1
7.029e-10 1.329e-10 1.07e-10 7.249e-12 2472.0 1.809
7.731e-10 1.363e-10 1.342e-10 1.23e-11 2472.0 7.808
8.607e-10 1.449e-10 1.877e-10 3.166e-11 2472.0 19.26
9.767e-10 1.63e-10 2.896e-10 7.022e-11 2472.0 37.11
1.135e-09 1.94e-10 4.537e-10 1.216e-10 2472.0 62.15
1.346e-09 2.422e-10 6.783e-10 1.862e-10 2472.0 95.1
