delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
3.002725845746568e-11 1.433954409206517e-12 2.7799519630722358e-11 8.286471552335084e-13 1.3705789569939952e-05 50 15
3.7626169541171706e-11 1.6833003090369059e-12 3.4098002199556277e-11 1.1068263276389767e-12 1.3712869986193255e-05 50 20
4.447773746529826e-11 2.2953691898586204e-12 3.9519772870866277e-11 1.6748403879052187e-12 1.3717150068259798e-05 50 25
5.14366327308835e-11 2.3311502467954215e-12 4.541277423553147e-11 1.77289790920937e-12 1.3720010429096874e-05 50 30
5.892007021168766e-11 2.797769177789733e-12 5.186700027803859e-11 2.1670196019563104e-12 1.3721680261369329e-05 50 35
6.624804871346868e-11 3.3039924962618983e-12 5.835083111138673e-11 2.7029409526563297e-12 1.3722789844905492e-05 50 40
7.323615325294242e-11 3.4636798637577293e-12 6.453616113732963e-11 2.7791384644981765e-12 1.3723540178034455e-05 50 45
2.918647615257619e-11 1.0912674843627235e-12 2.8062106458004443e-11 6.813328113502992e-13 1.257683015865041e-05 55 15
3.671567216922966e-11 1.7243755251819537e-12 3.372511644950116e-11 1.2374184793148557e-12 1.2584019714267924e-05 55 20
4.381599250091739e-11 2.307919697366878e-12 3.944046478299157e-11 1.8124540496905484e-12 1.2588559911819175e-05 55 25
5.0454466993254954e-11 2.270632033091191e-12 4.5464153275442953e-11 1.7312622689613644e-12 1.2591120139404666e-05 55 30
5.7668349262574026e-11 2.520168101982634e-12 5.180138262783629e-11 2.2178522039728588e-12 1.2592890016094316e-05 55 35
6.51903669934839e-11 2.997719260322551e-12 5.835178173985156e-11 2.5362637337544847e-12 1.2594069630722515e-05 55 40
7.275436503251242e-11 3.520727329467399e-12 6.508477784494815e-11 2.8993732328203015e-12 1.2594829968293197e-05 55 45
2.8650908034943967e-11 2.0077880330537923e-12 2.863527644170194e-11 1.1715350911600808e-12 1.159939984063385e-05 60 15
3.568676951171135e-11 1.7168921449470242e-12 3.477780563532207e-11 1.0609905965949795e-12 1.1605879990383983e-05 60 20
4.3166359375845786e-11 2.0427338206369106e-12 4.111394211192554e-11 1.537329616906058e-12 1.16094797704136e-05 60 25
5.006427217235654e-11 2.727391446369354e-12 4.6807651504776615e-11 1.990805740745283e-12 1.161203999799909e-05 60 30
5.772975500417665e-11 3.0061448122453704e-12 5.33855182283105e-11 2.153057246379042e-12 1.161360978585435e-05 60 35
6.468200974829585e-11 3.3889393027952686e-12 5.936563046704535e-11 2.493259721944585e-12 1.161462023446802e-05 60 40
7.193824008711047e-11 3.4826891804479176e-12 6.550426173701496e-11 2.7648120338313875e-12 1.1615329640335403e-05 60 45
2.7720509915285518e-11 1.5768666754290006e-12 2.8958247258459302e-11 1.0377655765975158e-12 1.0771160305012017e-05 65 15
3.447302859838075e-11 2.067781276066105e-12 3.403707177218607e-11 1.2436582796579443e-12 1.0777470379252918e-05 65 20
4.1799310540602264e-11 2.133959892472448e-12 4.01163442742547e-11 1.3997282066052774e-12 1.0780860066006426e-05 65 25
4.8678075459385184e-11 2.2929809093130693e-12 4.591312052770746e-11 1.8747997945767203e-12 1.0783250218082685e-05 65 30
5.5897765582901826e-11 2.640317435173567e-12 5.2116068405272387e-11 2.1298475136322104e-12 1.0784799997054506e-05 65 35
6.303804700458215e-11 3.1248989940807492e-12 5.85227005744926e-11 2.4647408679995264e-12 1.0785770427901298e-05 65 40
7.013363501062742e-11 3.0619215930088872e-12 6.467691660017039e-11 2.572137381556816e-12 1.0786459824885242e-05 65 45
2.6399110328312325e-11 2.083435854394189e-12 2.8772541640909033e-11 1.4174780056316894e-12 1.0054770427814219e-05 70 15
