delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
3.316682345433364e-11 2.047574132815755e-12 3.4638535095776746e-11 1.1901403257005838e-12 1.0060300155600999e-05 70 20
4.050910648589756e-11 2.1168774198832008e-12 4.106243817192379e-11 1.5245402596592017e-12 1.0064140042231884e-05 70 25
4.813252574287219e-11 2.902401626328488e-12 4.738167150297734e-11 2.0548016413379777e-12 1.006640013656579e-05 70 30
5.520098961264708e-11 2.9469942111615133e-12 5.338023773004963e-11 2.1793682310200513e-12 1.0067829862236977e-05 70 35
6.239663646878668e-11 3.2821165490276583e-12 5.977627420827858e-11 2.4850230380402127e-12 1.0068870324175805e-05 70 40
6.931623330874714e-11 3.24313492727768e-12 6.587558276649474e-11 2.6032542007475845e-12 1.0069559721159749e-05 70 45
2.5030311157081542e-11 2.1438298185294524e-12 2.9115251876099535e-11 1.0772503765757446e-12 9.423827577847987e-06 75 15
3.2282378159553815e-11 1.8386451215712807e-12 3.493984962466001e-11 9.575853564952608e-13 9.428980774828233e-06 75 20
3.968710776680595e-11 2.186882619437114e-12 4.071447345932455e-11 1.5852122132314905e-12 9.432495971850585e-06 75 25
4.6873335074471e-11 2.5167248927232544e-12 4.659697974696009e-11 1.7417139779041246e-12 9.43471968639642e-06 75 30
5.379131515215185e-11 3.085671041597182e-12 5.261853106008907e-11 2.1962605345482444e-12 9.436060281586833e-06 75 35
6.123881263198072e-11 3.2327608472104696e-12 5.90098317432286e-11 2.5343561884522137e-12 9.437039807380643e-06 75 40
6.848991512820035e-11 3.371600958493315e-12 6.540783192843236e-11 2.8463453382449044e-12 9.437709195481148e-06 75 45
2.3444699306929273e-11 1.963449368369563e-12 2.867446211030078e-11 9.043332489105937e-13 8.862793038133532e-06 80 15
3.1216775692177734e-11 1.908185848914501e-12 3.495294678690364e-11 1.186603658213936e-12 8.868253644322976e-06 80 20
3.8473880331624244e-11 2.576725074629471e-12 4.1101327202808235e-11 1.9106196659512964e-12 8.871442332747392e-06 80 25
4.535398792637757e-11 2.6937573265745085e-12 4.7126427760169065e-11 1.9547315155410416e-12 8.873330443748273e-06 80 30
5.2540617689889046e-11 3.0759405439395593e-12 5.346754289314859e-11 2.3172208509641967e-12 8.8747292465996e-06 80 35
6.004043096030642e-11 3.308058688089588e-12 5.988822632252422e-11 2.669863245416404e-12 8.875625098880846e-06 80 40
6.68190502928212e-11 3.589816378185562e-12 6.594214757571493e-11 2.772752513702237e-12 8.876229912857525e-06 80 45
