delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.222e-11 1.72e-11 2.412e-11 5.713e-12 10.5 0.1
9.093e-11 1.883e-11 3.003e-11 7.155e-12 10.5 1.809
1.155e-10 2.38e-11 5.1e-11 1.277e-11 10.5 7.808
1.574e-10 3.279e-11 9.485e-11 2.443e-11 10.5 19.26
2.225e-10 4.758e-11 1.624e-10 4.019e-11 10.5 37.11
3.13e-10 6.877e-11 2.548e-10 6.327e-11 10.5 62.15
4.319e-10 9.553e-11 3.761e-10 9.592e-11 10.5 95.1
1.169e-10 1.799e-11 2.4e-11 5.732e-12 109.3 0.1
1.257e-10 1.969e-11 2.991e-11 7.127e-12 109.3 1.809
1.505e-10 2.458e-11 5.107e-11 1.28e-11 109.3 7.808
1.928e-10 3.356e-11 9.485e-11 2.439e-11 109.3 19.26
2.582e-10 4.836e-11 1.626e-10 4.022e-11 109.3 37.11
3.383e-10 6.919e-11 2.556e-10 6.33e-11 109.3 62.15
4.579e-10 9.492e-11 3.765e-10 9.6e-11 109.3 95.1
2.198e-10 2.251e-11 2.719e-11 4.151e-12 408.8 0.1
2.288e-10 2.397e-11 3.269e-11 5.738e-12 408.8 1.809
2.538e-10 2.874e-11 5.23e-11 1.194e-11 408.8 7.808
2.959e-10 3.761e-11 9.378e-11 2.414e-11 408.8 19.26
3.604e-10 5.235e-11 1.622e-10 4.14e-11 408.8 37.11
4.482e-10 7.262e-11 2.568e-10 6.374e-11 408.8 62.15
5.675e-10 1.001e-10 3.779e-10 9.49e-11 408.8 95.1
3.561e-10 4.251e-11 4.343e-11 3.001e-12 878.5 0.1
3.682e-10 4.318e-11 4.851e-11 4.027e-12 878.5 1.809
3.975e-10 4.549e-11 6.406e-11 8.042e-12 878.5 7.808
4.408e-10 5.205e-11 9.811e-11 2.089e-11 878.5 19.26
5.04e-10 6.523e-11 1.611e-10 4.05e-11 878.5 37.11
5.937e-10 8.229e-11 2.55e-10 6.554e-11 878.5 62.15
7.103e-10 1.095e-10 3.804e-10 9.672e-11 878.5 95.1
4.847e-10 6.957e-11 6.218e-11 3.771e-12 1448.0 0.1
5.006e-10 7.007e-11 6.67e-11 5.081e-12 1448.0 1.809
5.375e-10 7.181e-11 8.231e-11 8.899e-12 1448.0 7.808
5.861e-10 7.654e-11 1.138e-10 1.736e-11 1448.0 19.26
6.492e-10 8.663e-11 1.685e-10 3.657e-11 1448.0 37.11
7.424e-10 1.068e-10 2.574e-10 6.406e-11 1448.0 62.15
8.596e-10 1.324e-10 3.794e-10 9.808e-11 1448.0 95.1
5.894e-10 9.631e-11 8.15e-11 5.971e-12 2020.0 0.1
6.091e-10 9.679e-11 8.652e-11 7.419e-12 2020.0 1.809
6.532e-10 9.856e-11 1.031e-10 9.915e-12 2020.0 7.808
7.083e-10 1.026e-10 1.326e-10 1.567e-11 2020.0 19.26
7.751e-10 1.109e-10 1.814e-10 3.259e-11 2020.0 37.11
8.694e-10 1.259e-10 2.641e-10 6.012e-11 2020.0 62.15
9.849e-10 1.49e-10 3.808e-10 9.67e-11 2020.0 95.1
6.608e-10 1.168e-10 9.858e-11 5.853e-12 2472.0 0.1
6.836e-10 1.175e-10 1.038e-10 6.714e-12 2472.0 1.809
7.331e-10 1.191e-10 1.193e-10 8.182e-12 2472.0 7.808
7.933e-10 1.234e-10 1.467e-10 1.445e-11 2472.0 19.26
8.644e-10 1.314e-10 1.928e-10 3.088e-11 2472.0 37.11
9.523e-10 1.442e-10 2.73e-10 5.718e-11 2472.0 62.15
1.067e-09 1.658e-10 3.845e-10 9.414e-11 2472.0 95.1
