delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.549e-11 2.249e-11 2.549e-11 7.26e-12 10.5 0.1
1.087e-10 2.744e-11 4.335e-11 1.195e-11 10.5 1.809
1.752e-10 4.208e-11 1.109e-10 3.066e-11 10.5 7.808
3e-10 7.226e-11 2.388e-10 6.552e-11 10.5 19.26
4.918e-10 1.203e-10 4.367e-10 1.227e-10 10.5 37.11
7.587e-10 1.9e-10 7.165e-10 2.025e-10 10.5 62.15
1.111e-09 2.812e-10 1.084e-09 3.075e-10 10.5 95.1
1.202e-10 2.361e-11 2.543e-11 7.255e-12 109.3 0.1
1.437e-10 2.85e-11 4.327e-11 1.191e-11 109.3 1.809
2.107e-10 4.286e-11 1.111e-10 3.116e-11 109.3 7.808
3.356e-10 7.276e-11 2.389e-10 6.554e-11 109.3 19.26
5.277e-10 1.211e-10 4.366e-10 1.224e-10 109.3 37.11
7.859e-10 1.884e-10 7.15e-10 2.018e-10 109.3 62.15
1.14e-09 2.79e-10 1.081e-09 3.063e-10 109.3 95.1
2.234e-10 2.986e-11 2.858e-11 5.39e-12 408.8 0.1
2.471e-10 3.444e-11 4.514e-11 1.063e-11 408.8 1.809
3.139e-10 4.856e-11 1.1e-10 3.111e-11 408.8 7.808
4.381e-10 7.83e-11 2.4e-10 6.576e-11 408.8 19.26
6.312e-10 1.259e-10 4.38e-10 1.218e-10 408.8 37.11
8.948e-10 1.934e-10 7.161e-10 2.015e-10 408.8 62.15
1.246e-09 2.832e-10 1.083e-09 3.066e-10 408.8 95.1
3.614e-10 5.493e-11 4.369e-11 3.487e-12 878.5 0.1
3.905e-10 5.673e-11 5.774e-11 6.919e-12 878.5 1.809
4.595e-10 6.688e-11 1.126e-10 2.83e-11 878.5 7.808
5.81e-10 9.366e-11 2.388e-10 6.738e-11 878.5 19.26
7.722e-10 1.407e-10 4.403e-10 1.217e-10 878.5 37.11
1.041e-09 2.044e-10 7.197e-10 2.008e-10 878.5 62.15
1.392e-09 2.943e-10 1.086e-09 3.066e-10 878.5 95.1
4.944e-10 9.075e-11 6.201e-11 4.373e-12 1448.0 0.1
5.322e-10 9.174e-11 7.526e-11 7.36e-12 1448.0 1.809
6.085e-10 9.844e-11 1.25e-10 2.41e-11 1448.0 7.808
7.282e-10 1.203e-10 2.406e-10 6.552e-11 1448.0 19.26
9.158e-10 1.631e-10 4.404e-10 1.245e-10 1448.0 37.11
1.188e-09 2.282e-10 7.225e-10 2.016e-10 1448.0 62.15
1.542e-09 3.16e-10 1.089e-09 3.056e-10 1448.0 95.1
6.046e-10 1.266e-10 8.091e-11 6.48e-12 2020.0 0.1
6.501e-10 1.276e-10 9.469e-11 9.447e-12 2020.0 1.809
7.36e-10 1.329e-10 1.421e-10 2.149e-11 2020.0 7.808
8.578e-10 1.505e-10 2.473e-10 6.179e-11 2020.0 19.26
1.043e-09 1.889e-10 4.407e-10 1.241e-10 2020.0 37.11
1.32e-09 2.494e-10 7.223e-10 2.037e-10 2020.0 62.15
1.672e-09 3.357e-10 1.092e-09 3.055e-10 2020.0 95.1
6.802e-10 1.545e-10 9.766e-11 6.39e-12 2472.0 0.1
7.32e-10 1.556e-10 1.113e-10 8.333e-12 2472.0 1.809
8.26e-10 1.61e-10 1.553e-10 2.028e-11 2472.0 7.808
9.525e-10 1.765e-10 2.548e-10 5.95e-11 2472.0 19.26
1.137e-09 2.113e-10 4.429e-10 1.221e-10 2472.0 37.11
1.401e-09 2.688e-10 7.217e-10 2.048e-10 2472.0 62.15
1.751e-09 3.535e-10 1.093e-09 3.072e-10 2472.0 95.1
