delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.3987609521799484e-11 1.11355022425208e-12 2.6392846241840573e-11 8.832071901089533e-13 1.3705789569939952e-05 50 15
5.5211498567464545e-11 1.2412395330313464e-12 3.1748766810002493e-11 5.735273909436567e-13 1.3712869986193255e-05 50 20
5.634194499837264e-11 1.236812735561088e-12 3.694257053044048e-11 1.1382650464547561e-12 1.3717150068259798e-05 50 25
5.709905465112186e-11 1.048090325465878e-12 4.182478668957046e-11 1.3898080819876868e-12 1.3720010429096874e-05 50 30
5.797054850043004e-11 8.584870011055235e-13 4.7562655203226e-11 1.429766786735509e-12 1.3721680261369329e-05 50 35
5.846598899461597e-11 9.10313816514241e-13 5.2877452416666415e-11 2.0139805621821605e-12 1.3722789844905492e-05 50 40
5.892839688437235e-11 9.421779762625038e-13 5.85141726738847e-11 2.09372558353238e-12 1.3723540178034455e-05 50 45
5.830901039782788e-11 1.1493313896090984e-12 2.6133081809653902e-11 5.695905444351446e-13 1.257683015865041e-05 55 15
5.946484971097732e-11 8.025832060575e-13 3.117352556647468e-11 1.4270502097721294e-12 1.2584019714267924e-05 55 20
6.016973724820573e-11 8.395374239550391e-13 3.645123439199871e-11 1.1342077450848809e-12 1.2588559911819175e-05 55 25
6.105285027535601e-11 8.506334200387988e-13 4.244790283158828e-11 1.5915865630641846e-12 1.2591120139404666e-05 55 30
6.165171151373272e-11 8.500428009053373e-13 4.768087313866687e-11 1.7185743930378528e-12 1.2592890016094316e-05 55 35
6.243863065469313e-11 8.846421316842379e-13 5.345628106834255e-11 1.8933867061005083e-12 1.2594069630722515e-05 55 40
6.30003063606388e-11 8.086833069506638e-13 5.909234213063996e-11 2.2161085900390676e-12 1.2594829968293197e-05 55 45
6.171724242776122e-11 9.638602849887379e-13 2.6809750600098603e-11 8.447930397760539e-13 1.159939984063385e-05 60 15
6.256849205410475e-11 1.134719054829425e-12 3.215771746112317e-11 7.887225486440108e-13 1.1605879990383983e-05 60 20
6.344515190992439e-11 1.1721278244877786e-12 3.7245075079628265e-11 1.2989546504388327e-12 1.16094797704136e-05 60 25
6.474740882334018e-11 1.4204147840563008e-12 4.237656406336221e-11 1.2095026586181334e-12 1.161203999799909e-05 60 30
6.549927961119195e-11 1.3776895206249473e-12 4.7850626239132055e-11 1.6099114229228828e-12 1.161360978585435e-05 60 35
6.642339456242041e-11 1.4636438762372084e-12 5.320366022742995e-11 1.8283007486435965e-12 1.161462023446802e-05 60 40
6.725196788348597e-11 1.4075284991352244e-12 5.833002830746281e-11 1.9197924500113928e-12 1.1615329640335403e-05 60 45
6.62766785897162e-11 1.4487815244365598e-12 2.6817895126818314e-11 6.069479229105224e-13 1.0771160305012017e-05 65 15
6.739939162336839e-11 1.1936271198872972e-12 3.11552693366135e-11 1.2616463863218685e-12 1.0777470379252918e-05 65 20
6.82000012020012e-11 1.1158375655753727e-12 3.6592517210776165e-11 1.1090388590123679e-12 1.0780860066006426e-05 65 25
