delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
3.0197119110786375e-11 1.538061561792703e-12 2.7805140134784523e-11 8.551838707668291e-13 1.3705789569939952e-05 50 15
3.754290975321872e-11 1.6529919794061598e-12 3.398159531542433e-11 1.085089266703032e-12 1.3712869986193255e-05 50 20
4.4489981143591706e-11 2.329429184266818e-12 3.9620372954685124e-11 1.7480811720024803e-12 1.3717150068259798e-05 50 25
5.14764932069145e-11 2.5524517395514312e-12 4.5471917897721426e-11 1.8450297713246133e-12 1.3720010429096874e-05 50 30
5.907675043603788e-11 2.6333282342888564e-12 5.211882314615224e-11 2.023525878108723e-12 1.3721680261369329e-05 50 35
6.600570784387472e-11 3.136239965645382e-12 5.816720716200763e-11 2.629878953497311e-12 1.3722789844905492e-05 50 40
7.34488858622484e-11 3.7618710230225005e-12 6.459681400894368e-11 3.1523067576394448e-12 1.3723540178034455e-05 50 45
2.929363696058118e-11 1.033469425489042e-12 2.799063932024115e-11 7.056626333615257e-13 1.257683015865041e-05 55 15
3.646058802098118e-11 1.9415953220192073e-12 3.3469147592279924e-11 1.381734787350708e-12 1.2584019714267924e-05 55 20
4.3365897678393495e-11 2.2676851715863755e-12 3.910938239926054e-11 1.6992933752832395e-12 1.2588559911819175e-05 55 25
5.042322115400566e-11 2.2274224565493883e-12 4.5484657706929e-11 1.6901097492014183e-12 1.2591120139404666e-05 55 30
5.813183615033246e-11 2.36989030830137e-12 5.220039678288657e-11 2.040935129232757e-12 1.2592890016094316e-05 55 35
6.505861821493042e-11 3.3208206150214803e-12 5.824325743919445e-11 2.6480373883225328e-12 1.2594069630722515e-05 55 40
7.263856877104402e-11 3.467775762724945e-12 6.501569421724085e-11 2.868751026660621e-12 1.2594829968293197e-05 55 45
2.866307885485142e-11 1.8834866392231087e-12 2.858422873397437e-11 1.231824646626134e-12 1.159939984063385e-05 60 15
3.5622015753800085e-11 1.6442015934522991e-12 3.4828875894454825e-11 9.824673626729341e-13 1.1605879990383983e-05 60 20
4.330277456054965e-11 2.3226429460287967e-12 4.106762846456391e-11 1.6392731356368317e-12 1.16094797704136e-05 60 25
5.0145266411449896e-11 2.602592620581934e-12 4.691393454270276e-11 1.9357191630847703e-12 1.161203999799909e-05 60 30
5.730390814639996e-11 2.675556174183691e-12 5.310125603119609e-11 2.0228317718778976e-12 1.161360978585435e-05 60 35
6.409530545203879e-11 3.0461466682396576e-12 5.898492805300748e-11 2.283379431713972e-12 1.161462023446802e-05 60 40
7.205862295744936e-11 3.4619653064421607e-12 6.569989691174172e-11 2.6884382307162946e-12 1.1615329640335403e-05 60 45
2.749572965143887e-11 1.6700877876821285e-12 2.8881124922164325e-11 1.0406225577422323e-12 1.0771160305012017e-05 65 15
3.4207345289694047e-11 2.0917443124823798e-12 3.396520911747025e-11 1.2401469825021327e-12 1.0777470379252918e-05 65 20
4.137272816007176e-11 2.048007813684749e-12 3.992161115573545e-11 1.4289998221186928e-12 1.0780860066006426e-05 65 25
4.9091331694173235e-11 2.247707445515723e-12 4.608632572788984e-11 1.7981535314556818e-12 1.0783250218082685e-05 65 30
5.60750439138058e-11 3.027086610887797e-12 5.2169147474190325e-11 2.4542570666724606e-12 1.0784799997054506e-05 65 35
6.318057882426231e-11 2.8487160547152612e-12 5.860942287050364e-11 2.3476238314446007e-12 1.0785770427901298e-05 65 40
7.036202176458062e-11 3.326001366682485e-12 6.491276266507029e-11 2.7507683630911828e-12 1.0786459824885242e-05 65 45
2.642354390847146e-11 2.051325689172989e-12 2.875594727613784e-11 1.3300382930431232e-12 1.0054770427814219e-05 70 15
3.3093545265261426e-11 2.1247151173880985e-12 3.451889815653253e-11 1.3144399848077915e-12 1.0060300155600999e-05 70 20
4.0667309797459694e-11 2.3438243533513425e-12 4.098977754440902e-11 1.5745991750054644e-12 1.0064140042231884e-05 70 25
4.771481473819783e-11 2.745624257463608e-12 4.711452408767691e-11 2.118879724455347e-12 1.006640013656579e-05 70 30
5.470385949779555e-11 3.073372936354679e-12 5.3118443671396065e-11 2.2417922553030767e-12 1.0067829862236977e-05 70 35
6.229486371189807e-11 3.088609229484618e-12 5.972209532467687e-11 2.2815514668511616e-12 1.0068870324175805e-05 70 40
6.993104706420894e-11 3.880166153658049e-12 6.615204217741422e-11 3.1171686325909276e-12 1.0069559721159749e-05 70 45
2.4758044572803506e-11 2.0994506046839723e-12 2.9018313793538475e-11 1.0901022922879533e-12 9.423827577847987e-06 75 15
3.228238856789467e-11 1.7220250832922224e-12 3.495346373449948e-11 9.64791180974034e-13 9.428980774828233e-06 75 20
3.9703632742638106e-11 2.1986334194229462e-12 4.0812228596642797e-11 1.3978350811919005e-12 9.432495971850585e-06 75 25
4.656498450716917e-11 2.5842197305669945e-12 4.6372482243040025e-11 1.8593659598109546e-12 9.43471968639642e-06 75 30
5.389883678263985e-11 2.7549496971895904e-12 5.26818935697726e-11 2.0542157384839665e-12 9.436060281586833e-06 75 35
6.151380099739256e-11 3.1870524015015222e-12 5.927397461746864e-11 2.572188772739792e-12 9.437039807380643e-06 75 40
6.853586448363203e-11 3.4745721924633877e-12 6.537084762392453e-11 2.8400456899418947e-12 9.437709195481148e-06 75 45
2.3718041419762415e-11 1.866362533270438e-12 2.8635033580415303e-11 8.774698632627032e-13 8.862793038133532e-06 80 15
3.120653388477557e-11 1.9549865198920102e-12 3.493968309120632e-11 1.1871072701230556e-12 8.868253644322976e-06 80 20
3.821306465701113e-11 2.6848638329940444e-12 4.0889104602204185e-11 1.9778807498066486e-12 8.871442332747392e-06 80 25
4.5027492151517023e-11 2.651322087224295e-12 4.68785704699215e-11 1.7705021476688287e-12 8.873330443748273e-06 80 30
5.2414975137971e-11 2.623380245675433e-12 5.338047365244236e-11 1.987361013602862e-12 8.8747292465996e-06 80 35
5.994856000501869e-11 3.4291256899993128e-12 5.978586375965378e-11 2.63282646552343e-12 8.875625098880846e-06 80 40
6.681011299747297e-11 3.660040152897448e-12 6.57833371109362e-11 2.784493122187648e-12 8.876229912857525e-06 80 45
