delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.414759265964797e-11 1.1526993552377074e-12 2.6508262598867738e-11 9.064006056130891e-13 1.3705789569939952e-05 50 15
5.531378133305509e-11 1.2885649578603386e-12 3.1643597464547923e-11 6.673771236163917e-13 1.3712869986193255e-05 50 20
5.636112410112304e-11 1.179747272095355e-12 3.70615066414004e-11 1.166924413001369e-12 1.3717150068259798e-05 50 25
5.7223288607577416e-11 1.0380702374079842e-12 4.1914319237612574e-11 1.4195937177510776e-12 1.3720010429096874e-05 50 30
5.7770250388999855e-11 9.332425240579645e-13 4.747486778700072e-11 1.6517956707290393e-12 1.3721680261369329e-05 50 35
5.851429063508107e-11 9.093072432173055e-13 5.2986191823034545e-11 2.016828327608411e-12 1.3722789844905492e-05 50 40
5.895059440597095e-11 8.960491311611751e-13 5.84115256163642e-11 1.9298473409590233e-12 1.3723540178034455e-05 50 45
5.838513006395374e-11 1.1284887954654543e-12 2.6133782637938197e-11 5.46068995143506e-13 1.257683015865041e-05 55 15
5.953808973613306e-11 8.800253277832515e-13 3.1112726978088645e-11 1.3662308047043825e-12 1.2584019714267924e-05 55 20
6.027845583789215e-11 8.168280505108094e-13 3.654425720367449e-11 1.0252942158478495e-12 1.2588559911819175e-05 55 25
6.092448767702763e-11 8.419451117194776e-13 4.2223665536189614e-11 1.5603105829944952e-12 1.2591120139404666e-05 55 30
6.182374751029229e-11 8.935045086623516e-13 4.772545553199947e-11 1.8016769716758252e-12 1.2592890016094316e-05 55 35
6.239171679300881e-11 8.521146570468485e-13 5.346484019397302e-11 1.883563617577355e-12 1.2594069630722515e-05 55 40
6.290272469566816e-11 8.617248082633255e-13 5.889180115792314e-11 2.2162315385654274e-12 1.2594829968293197e-05 55 45
6.155279758113252e-11 1.0380052936978523e-12 2.6720231929844296e-11 8.722459061451249e-13 1.159939984063385e-05 60 15
6.25662785469494e-11 9.938222120253748e-13 3.2293799578919646e-11 7.729050147294025e-13 1.1605879990383983e-05 60 20
6.35004063220812e-11 1.1464973935504386e-12 3.732360948083269e-11 1.2973402734040018e-12 1.16094797704136e-05 60 25
6.451578160593385e-11 1.284707691791287e-12 4.246086468540078e-11 1.3882067153789257e-12 1.161203999799909e-05 60 30
6.546928277284536e-11 1.4789174659218807e-12 4.791778432378102e-11 1.6362111318612982e-12 1.161360978585435e-05 60 35
6.637189409186561e-11 1.371781377726422e-12 5.296675945065665e-11 2.0665316246420984e-12 1.161462023446802e-05 60 40
6.736786128946903e-11 1.2933572398829418e-12 5.851828743796972e-11 2.0436686197500276e-12 1.1615329640335403e-05 60 45
6.601582475118661e-11 1.5046092627021834e-12 2.67893224964455e-11 5.868558135106727e-13 1.0771160305012017e-05 65 15
6.746558173231776e-11 1.1472148101279722e-12 3.119426938980041e-11 1.2532971622319922e-12 1.0777470379252918e-05 65 20
6.831086390990393e-11 9.903098306673908e-13 3.664324052521373e-11 1.036501071603746e-12 1.0780860066006426e-05 65 25
6.904168903254515e-11 9.085461332922207e-13 4.241036341556814e-11 1.6052624724274822e-12 1.0783250218082685e-05 65 30
6.965821669480121e-11 8.589744041921643e-13 4.77461056802575e-11 1.6749130294507752e-12 1.0784799997054506e-05 65 35
7.050189598789558e-11 9.671090967985907e-13 5.3523137311106694e-11 1.911086740247203e-12 1.0785770427901298e-05 65 40
7.108665739385955e-11 1.0231974772664798e-12 5.923486007253231e-11 2.272646914408538e-12 1.0786459824885242e-05 65 45
6.967308674443728e-11 9.732462231959449e-13 2.7053305776125747e-11 8.443887407859341e-13 1.0054770427814219e-05 70 15
7.046203204241763e-11 1.1148416174597275e-12 3.2690058993090076e-11 8.452070423756175e-13 1.0060300155600999e-05 70 20
7.149350556012735e-11 1.1645119547473715e-12 3.756899305540351e-11 1.2260361996474511e-12 1.0064140042231884e-05 70 25
7.243385752309095e-11 1.3874684821196803e-12 4.283267490690079e-11 1.2405041186977495e-12 1.006640013656579e-05 70 30
7.348205377510908e-11 1.380348960133837e-12 4.850800663924737e-11 1.5914883343473574e-12 1.0067829862236977e-05 70 35
7.405225044276875e-11 1.525209103979408e-12 5.345862294503512e-11 1.964215248784207e-12 1.0068870324175805e-05 70 40
7.482719999174492e-11 1.5087217499626382e-12 5.894106036574698e-11 2.049369137932522e-12 1.0069559721159749e-05 70 45
7.35369751203585e-11 1.6250015655999706e-12 2.7686996792453122e-11 6.085628420464395e-13 9.423827577847987e-06 75 15
7.511600369491944e-11 1.5344367486694321e-12 3.17600598598311e-11 1.126975899753968e-12 9.428980774828233e-06 75 20
7.605389235054716e-11 1.360804589671527e-12 3.708688217640699e-11 1.022453389315503e-12 9.432495971850585e-06 75 25
7.681934949266278e-11 1.2540065557134494e-12 4.2523762289192746e-11 1.6231852017004056e-12 9.43471968639642e-06 75 30
7.785712352603724e-11 1.0567893131765982e-12 4.811128925807928e-11 1.8122756984331745e-12 9.436060281586833e-06 75 35
7.833383941502348e-11 1.0413071229939397e-12 5.371540712229006e-11 1.9836706062481557e-12 9.437039807380643e-06 75 40
7.902160870099095e-11 1.1202317285602392e-12 5.908818573319152e-11 2.2680809053793327e-12 9.437709195481148e-06 75 45
7.753273717492348e-11 1.052092115684522e-12 2.732742331035265e-11 7.859239517862826e-13 8.862793038133532e-06 80 15
7.84802153819264e-11 1.0184715484168327e-12 3.2966195745443017e-11 8.500390061977336e-13 8.868253644322976e-06 80 20
7.915811062186862e-11 1.107820541031146e-12 3.773109255589269e-11 1.4130051295691004e-12 8.871442332747392e-06 80 25
8.011515062467112e-11 1.2592831508465019e-12 4.322239441356679e-11 1.1714076974048138e-12 8.873330443748273e-06 80 30
8.080403707255712e-11 1.4705904679765402e-12 4.875307102469861e-11 1.7434224636875273e-12 8.8747292465996e-06 80 35
8.172222620839165e-11 1.4716118948432388e-12 5.3733493349250594e-11 1.8304186291673297e-12 8.875625098880846e-06 80 40
8.251099109513049e-11 1.4974406263579265e-12 5.973409961113063e-11 2.031272068950263e-12 8.876229912857525e-06 80 45
