delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.672e-11 1.958e-11 2.552e-11 6.37e-12 10.5 0.1
9.724e-11 2.163e-11 3.261e-11 8.055e-12 10.5 1.809
1.264e-10 2.75e-11 5.781e-11 1.455e-11 10.5 7.808
1.765e-10 3.808e-11 1.105e-10 2.764e-11 10.5 19.26
2.543e-10 5.523e-11 1.907e-10 4.747e-11 10.5 37.11
3.629e-10 8.003e-11 3.009e-10 7.516e-11 10.5 62.15
5.04e-10 1.122e-10 4.469e-10 1.135e-10 10.5 95.1
1.213e-10 2.041e-11 2.536e-11 6.405e-12 109.3 0.1
1.32e-10 2.25e-11 3.248e-11 8.047e-12 109.3 1.809
1.614e-10 2.825e-11 5.788e-11 1.463e-11 109.3 7.808
2.118e-10 3.872e-11 1.106e-10 2.82e-11 109.3 19.26
2.9e-10 5.605e-11 1.907e-10 4.7e-11 109.3 37.11
3.883e-10 8.035e-11 3.017e-10 7.473e-11 109.3 62.15
5.299e-10 1.121e-10 4.471e-10 1.128e-10 109.3 95.1
2.246e-10 2.497e-11 2.833e-11 4.817e-12 408.8 0.1
2.354e-10 2.689e-11 3.497e-11 6.72e-12 408.8 1.809
2.651e-10 3.255e-11 5.874e-11 1.387e-11 408.8 7.808
3.153e-10 4.311e-11 1.093e-10 2.825e-11 408.8 19.26
3.927e-10 6.045e-11 1.912e-10 4.778e-11 408.8 37.11
4.982e-10 8.43e-11 3.03e-10 7.445e-11 408.8 62.15
6.404e-10 1.165e-10 4.483e-10 1.123e-10 408.8 95.1
3.639e-10 4.533e-11 4.39e-11 3.114e-12 878.5 0.1
3.781e-10 4.606e-11 4.982e-11 4.165e-12 878.5 1.809
4.117e-10 4.908e-11 6.887e-11 9.818e-12 878.5 7.808
4.625e-10 5.747e-11 1.119e-10 2.534e-11 878.5 19.26
5.382e-10 7.334e-11 1.893e-10 4.807e-11 878.5 37.11
6.448e-10 9.382e-11 3.023e-10 7.729e-11 878.5 62.15
7.854e-10 1.271e-10 4.512e-10 1.125e-10 878.5 95.1
4.968e-10 7.44e-11 6.282e-11 3.998e-12 1448.0 0.1
5.154e-10 7.494e-11 6.823e-11 5.535e-12 1448.0 1.809
5.57e-10 7.703e-11 8.722e-11 9.692e-12 1448.0 7.808
6.124e-10 8.287e-11 1.254e-10 2.089e-11 1448.0 19.26
6.866e-10 9.59e-11 1.94e-10 4.446e-11 1448.0 37.11
7.984e-10 1.191e-10 3.031e-10 7.645e-11 1448.0 62.15
9.385e-10 1.495e-10 4.511e-10 1.15e-10 1448.0 95.1
6.059e-10 1.031e-10 8.264e-11 5.999e-12 2020.0 0.1
6.288e-10 1.037e-10 8.866e-11 7.557e-12 2020.0 1.809
6.782e-10 1.058e-10 1.084e-10 9.799e-12 2020.0 7.808
7.4e-10 1.106e-10 1.432e-10 1.824e-11 2020.0 19.26
8.176e-10 1.213e-10 2.044e-10 4.04e-11 2020.0 37.11
9.289e-10 1.403e-10 3.072e-10 7.382e-11 2020.0 62.15
1.067e-09 1.691e-10 4.511e-10 1.15e-10 2020.0 95.1
6.807e-10 1.252e-10 9.972e-11 5.713e-12 2472.0 0.1
7.07e-10 1.26e-10 1.06e-10 6.535e-12 2472.0 1.809
7.624e-10 1.279e-10 1.241e-10 8.451e-12 2472.0 7.808
8.297e-10 1.331e-10 1.569e-10 1.713e-11 2472.0 19.26
9.112e-10 1.43e-10 2.146e-10 3.825e-11 2472.0 37.11
1.015e-09 1.588e-10 3.138e-10 7.045e-11 2472.0 62.15
1.152e-09 1.856e-10 4.529e-10 1.132e-10 2472.0 95.1
