delay(miu)          delay(sigma)          slew(miu)          slew(sigma)          input_slew     output_cap
8.482e-11 1.763e-11 2.479e-11 5.785e-12 10.5 0.1
9.007e-11 1.858e-11 2.81e-11 6.544e-12 10.5 1.809
1.053e-10 2.155e-11 3.975e-11 9.469e-12 10.5 7.808
1.301e-10 2.652e-11 6.266e-11 1.533e-11 10.5 19.26
1.665e-10 3.421e-11 1.018e-10 2.505e-11 10.5 37.11
2.179e-10 4.536e-11 1.542e-10 3.759e-11 10.5 62.15
2.848e-10 6.027e-11 2.241e-10 5.296e-11 10.5 95.1
1.195e-10 1.835e-11 2.459e-11 5.791e-12 109.3 0.1
1.248e-10 1.938e-11 2.793e-11 6.544e-12 109.3 1.809
1.402e-10 2.232e-11 3.961e-11 9.391e-12 109.3 7.808
1.652e-10 2.729e-11 6.283e-11 1.547e-11 109.3 19.26
2.021e-10 3.495e-11 1.017e-10 2.527e-11 109.3 37.11
2.431e-10 4.593e-11 1.544e-10 3.719e-11 109.3 62.15
3.101e-10 6.095e-11 2.247e-10 5.313e-11 109.3 95.1
2.23e-10 2.221e-11 2.758e-11 4.286e-12 408.8 0.1
2.283e-10 2.311e-11 3.073e-11 5.165e-12 408.8 1.809
2.439e-10 2.597e-11 4.163e-11 8.343e-12 408.8 7.808
2.691e-10 3.092e-11 6.342e-11 1.483e-11 408.8 19.26
3.058e-10 3.864e-11 1.005e-10 2.504e-11 408.8 37.11
3.541e-10 4.902e-11 1.541e-10 3.818e-11 408.8 62.15
4.211e-10 6.43e-11 2.249e-10 5.399e-11 408.8 95.1
3.621e-10 4.048e-11 4.357e-11 2.995e-12 878.5 0.1
3.693e-10 4.091e-11 4.639e-11 3.524e-12 878.5 1.809
3.885e-10 4.207e-11 5.577e-11 5.083e-12 878.5 7.808
4.162e-10 4.525e-11 7.267e-11 1.065e-11 878.5 19.26
4.532e-10 5.155e-11 1.04e-10 2.184e-11 878.5 37.11
5.037e-10 5.997e-11 1.552e-10 3.551e-11 878.5 62.15
5.69e-10 7.377e-11 2.233e-10 5.448e-11 878.5 95.1
4.942e-10 6.551e-11 6.254e-11 3.632e-12 1448.0 0.1
5.038e-10 6.585e-11 6.491e-11 4.24e-12 1448.0 1.809
5.288e-10 6.694e-11 7.389e-11 6.736e-12 1448.0 7.808
5.62e-10 6.938e-11 9.096e-11 1.031e-11 1448.0 19.26
6.025e-10 7.388e-11 1.189e-10 1.792e-11 1448.0 37.11
6.568e-10 8.364e-11 1.635e-10 3.283e-11 1448.0 62.15
7.231e-10 9.738e-11 2.269e-10 5.215e-11 1448.0 95.1
6.023e-10 8.999e-11 8.181e-11 5.27e-12 2020.0 0.1
6.144e-10 9.032e-11 8.442e-11 6.049e-12 2020.0 1.809
6.447e-10 9.147e-11 9.465e-11 8.224e-12 2020.0 7.808
6.837e-10 9.392e-11 1.122e-10 1.028e-11 2020.0 19.26
7.289e-10 9.773e-11 1.375e-10 1.586e-11 2020.0 37.11
7.856e-10 1.044e-10 1.805e-10 2.816e-11 2020.0 62.15
8.526e-10 1.156e-10 2.366e-10 4.756e-11 2020.0 95.1
6.762e-10 1.086e-10 9.948e-11 5.525e-12 2472.0 0.1
6.901e-10 1.091e-10 1.025e-10 6.28e-12 2472.0 1.809
7.246e-10 1.101e-10 1.116e-10 6.802e-12 2472.0 7.808
7.679e-10 1.126e-10 1.277e-10 8.839e-12 2472.0 19.26
8.173e-10 1.169e-10 1.516e-10 1.487e-11 2472.0 37.11
8.708e-10 1.23e-10 1.942e-10 2.655e-11 2472.0 62.15
9.385e-10 1.325e-10 2.471e-10 4.459e-11 2472.0 95.1
