delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.4064842880396924e-11 1.2596182777380172e-12 2.6508351069765013e-11 9.40167106493195e-13 1.3705789569939952e-05 50 15
5.5282178140769744e-11 1.2985724691730316e-12 3.1761256819029526e-11 6.680151765948994e-13 1.3712869986193255e-05 50 20
5.6226519967728095e-11 1.1797408753025374e-12 3.708504336952245e-11 1.2269819492025102e-12 1.3717150068259798e-05 50 25
5.712803147206458e-11 1.047582159907634e-12 4.1885411805608896e-11 1.406736164187572e-12 1.3720010429096874e-05 50 30
5.785508183642207e-11 1.0118467478822946e-12 4.758740970722819e-11 1.5998683497789323e-12 1.3721680261369329e-05 50 35
5.840206790397318e-11 9.702955669835256e-13 5.258269861196929e-11 1.8389406750835002e-12 1.3722789844905492e-05 50 40
5.898403293569388e-11 8.826046447515945e-13 5.825282617388794e-11 2.2755187491230178e-12 1.3723540178034455e-05 50 45
5.832647559378401e-11 1.1351803828538176e-12 2.6211503453832385e-11 5.724290941429289e-13 1.257683015865041e-05 55 15
5.941743624893192e-11 8.929483129478666e-13 3.10648694268334e-11 1.3717267339369288e-12 1.2584019714267924e-05 55 20
6.030808491486184e-11 7.938620464123525e-13 3.6516775714368066e-11 1.1807261982368922e-12 1.2588559911819175e-05 55 25
6.094197368966547e-11 7.719602409562987e-13 4.222241306583996e-11 1.5320436976343221e-12 1.2591120139404666e-05 55 30
6.168986849131031e-11 8.050752447509579e-13 4.760609614851141e-11 1.7934688022885892e-12 1.2592890016094316e-05 55 35
6.22902979197093e-11 7.737098180020385e-13 5.3452530596187486e-11 1.8252665004436786e-12 1.2594069630722515e-05 55 40
6.300754362698058e-11 7.676666919330388e-13 5.929213370281516e-11 2.239588722807717e-12 1.2594829968293197e-05 55 45
6.148051512333552e-11 1.0190781595323384e-12 2.6724004953404545e-11 8.392862143116742e-13 1.159939984063385e-05 60 15
6.2681700108147e-11 1.1611762983435026e-12 3.2208569145097954e-11 7.393254845139419e-13 1.1605879990383983e-05 60 20
6.353755716004272e-11 1.1961080997185958e-12 3.7399049135355966e-11 1.3617725653711221e-12 1.16094797704136e-05 60 25
6.459247026135984e-11 1.2569648013410761e-12 4.2371245401184865e-11 1.2162627675837978e-12 1.161203999799909e-05 60 30
6.545850667061259e-11 1.465174769704758e-12 4.787546054041414e-11 1.5236842820440244e-12 1.161360978585435e-05 60 35
6.657721596248223e-11 1.4173447571846909e-12 5.302897704284604e-11 2.1364169114357345e-12 1.161462023446802e-05 60 40
6.728775869824233e-11 1.3382865779107411e-12 5.869776886768818e-11 2.109194112767665e-12 1.1615329640335403e-05 60 45
6.609345709618353e-11 1.401484180443835e-12 2.6828201118989092e-11 5.585868139562633e-13 1.0771160305012017e-05 65 15
6.750308645386838e-11 1.1897869842125708e-12 3.127833408944625e-11 1.3036738572350104e-12 1.0777470379252918e-05 65 20
6.831422233455342e-11 9.488425670167722e-13 3.675508855605081e-11 9.866986784914933e-13 1.0780860066006426e-05 65 25
6.905025856651648e-11 9.320894750475262e-13 4.2540984623862244e-11 1.6586173623781009e-12 1.0783250218082685e-05 65 30
6.974545940785504e-11 8.869049700384324e-13 4.772046299783561e-11 1.9085111095662466e-12 1.0784799997054506e-05 65 35
7.035307753033848e-11 8.604005095197431e-13 5.360009311394798e-11 1.885434950527065e-12 1.0785770427901298e-05 65 40
7.103356097770686e-11 1.0033198230563478e-12 5.892933363504937e-11 2.36448122366284e-12 1.0786459824885242e-05 65 45
6.961679149819489e-11 1.0747042361938797e-12 2.6970536914916465e-11 7.557883897717221e-13 1.0054770427814219e-05 70 15
7.074467400780549e-11 1.1637081272566907e-12 3.272699125589362e-11 8.06078999122245e-13 1.0060300155600999e-05 70 20
7.145545266595832e-11 1.2739160854674525e-12 3.770201165154141e-11 1.4014272598297794e-12 1.0064140042231884e-05 70 25
7.232781040755754e-11 1.4293848223101424e-12 4.290971050702197e-11 1.3485596103354758e-12 1.006640013656579e-05 70 30
7.318780304021999e-11 1.5013489583493023e-12 4.820489840628994e-11 1.6205143780687048e-12 1.0067829862236977e-05 70 35
7.41143049709514e-11 1.4966644460226441e-12 5.3639051533771465e-11 1.921857204628674e-12 1.0068870324175805e-05 70 40
7.496015613783769e-11 1.4976691761758865e-12 5.914487649638644e-11 1.8316643774635155e-12 1.0069559721159749e-05 70 45
7.3510510179009e-11 1.6191725694600367e-12 2.7546456435323385e-11 6.405903910620958e-13 9.423827577847987e-06 75 15
7.481215646976125e-11 1.5975556381248035e-12 3.1703997066534484e-11 1.0116538683158094e-12 9.428980774828233e-06 75 20
7.596064055537255e-11 1.557757828979378e-12 3.7181747264414255e-11 1.016942714933411e-12 9.432495971850585e-06 75 25
7.716734196083763e-11 9.930694504570181e-13 4.27552576676149e-11 1.6722360258666913e-12 9.43471968639642e-06 75 30
7.768756471460136e-11 9.681179469200885e-13 4.767886432888169e-11 1.4871189132556473e-12 9.436060281586833e-06 75 35
7.827069548049792e-11 1.0024817347770165e-12 5.3639245822800774e-11 2.133689058769761e-12 9.437039807380643e-06 75 40
7.902876270060588e-11 1.1429581239785769e-12 5.944464365192914e-11 2.3065169565961163e-12 9.437709195481148e-06 75 45
7.739962143427093e-11 9.627037665313476e-13 2.729831465042576e-11 7.827032208126972e-13 8.862793038133532e-06 80 15
7.839272980758594e-11 1.1185868854443615e-12 3.286517585854298e-11 9.255072836583667e-13 8.868253644322976e-06 80 20
7.935863771679763e-11 1.2561810315905864e-12 3.789569005818727e-11 1.3401540077326302e-12 8.871442332747392e-06 80 25
8.021151798320858e-11 1.2922744471732805e-12 4.337853340419251e-11 1.405541807074362e-12 8.873330443748273e-06 80 30
8.103349241617153e-11 1.3625828980748378e-12 4.874977851954121e-11 1.690314229731149e-12 8.8747292465996e-06 80 35
8.181897520609382e-11 1.5673586560571717e-12 5.395833085897195e-11 1.7669938862791001e-12 8.875625098880846e-06 80 40
8.260915562718907e-11 1.6659014662537275e-12 5.949889192446989e-11 1.9424468544054774e-12 8.876229912857525e-06 80 45
