delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
2.9928157174730075e-11 1.3868378017159455e-12 2.7607810135221733e-11 7.754654123698357e-13 1.3705789569939952e-05 50 15
3.75795367046905e-11 1.5941994902998746e-12 3.4004746934934715e-11 1.0677192636976418e-12 1.3712869986193255e-05 50 20
4.482576462794263e-11 2.3696231608860696e-12 3.974067255829716e-11 1.6880741596225768e-12 1.3717150068259798e-05 50 25
5.178858383803053e-11 2.4642653369266743e-12 4.56325081887865e-11 1.730711602677959e-12 1.3720010429096874e-05 50 30
5.871923086653297e-11 2.8203184145730864e-12 5.1773987874703664e-11 2.1764950952629647e-12 1.3721680261369329e-05 50 35
6.60479518299617e-11 3.1437233458803115e-12 5.817470810631775e-11 2.591523350081726e-12 1.3722789844905492e-05 50 40
7.349867936490284e-11 3.6162008717338656e-12 6.479056180452858e-11 3.0205824820550564e-12 1.3723540178034455e-05 50 45
2.934900586448741e-11 1.1229584970240403e-12 2.8008624933240078e-11 7.510788865849882e-13 1.257683015865041e-05 55 15
3.6452292573319056e-11 1.9484238441419555e-12 3.3407311639255255e-11 1.3729168626616661e-12 1.2584019714267924e-05 55 20
4.365384095872393e-11 2.3052816166407863e-12 3.930368530635775e-11 1.7509295879500342e-12 1.2588559911819175e-05 55 25
5.0501249015955096e-11 2.2184667297642235e-12 4.544817994167616e-11 1.7002176576352834e-12 1.2591120139404666e-05 55 30
5.8117458762163565e-11 2.9035922971543116e-12 5.2148882434543964e-11 2.4556997060831698e-12 1.2592890016094316e-05 55 35
6.548229319891519e-11 3.332105641754013e-12 5.855801954446349e-11 2.768560988103408e-12 1.2594069630722515e-05 55 40
7.223838194292398e-11 3.382540341573259e-12 6.464376950399142e-11 2.8176291595044534e-12 1.2594829968293197e-05 55 45
2.8423145781442116e-11 1.955567869096897e-12 2.8553907502337772e-11 1.215197647369548e-12 1.159939984063385e-05 60 15
3.5499443662434516e-11 1.8495652058525547e-12 3.462502853879279e-11 1.0917404133503616e-12 1.1605879990383983e-05 60 20
4.333031849990121e-11 2.271768276967956e-12 4.1203547518353645e-11 1.6281623401934175e-12 1.16094797704136e-05 60 25
5.0147025421054536e-11 2.6621962013334555e-12 4.6831250682943804e-11 1.956884741055598e-12 1.161203999799909e-05 60 30
5.710581660323122e-11 2.8942805183757025e-12 5.2925171190043585e-11 1.9478110530740667e-12 1.161360978585435e-05 60 35
6.476032904378926e-11 2.923423005410375e-12 5.940224007128236e-11 2.179016082154428e-12 1.161462023446802e-05 60 40
7.199570106752873e-11 3.5826422124102253e-12 6.566536897567588e-11 2.6917181591284978e-12 1.1615329640335403e-05 60 45
2.7770842916940985e-11 1.4411238044922947e-12 2.8940265114907326e-11 9.232472642298206e-13 1.0771160305012017e-05 65 15
3.43699374516504e-11 2.076163459902025e-12 3.389040090229223e-11 1.3050240142004066e-12 1.0777470379252918e-05 65 20
4.142639703497153e-11 2.010156147438935e-12 3.968037357027221e-11 1.3227963646320062e-12 1.0780860066006426e-05 65 25
4.911744622138059e-11 2.264329999543402e-12 4.628706445908293e-11 1.7016402393058017e-12 1.0783250218082685e-05 65 30
5.6071539772384327e-11 2.849970042947958e-12 5.212645939889349e-11 2.358960249360109e-12 1.0784799997054506e-05 65 35
6.317354972473765e-11 2.989924063542815e-12 5.854314949482742e-11 2.4156794186519503e-12 1.0785770427901298e-05 65 40
7.027896320455085e-11 3.337752383508752e-12 6.492374693412017e-11 2.7824140561016897e-12 1.0786459824885242e-05 65 45
2.6618920609400298e-11 2.153848930805391e-12 2.898027651188073e-11 1.4433043519015976e-12 1.0054770427814219e-05 70 15
3.3180489605877383e-11 1.936158698645496e-12 3.4612229748987033e-11 1.1877987742686669e-12 1.0060300155600999e-05 70 20
4.074343640247946e-11 2.1283094644303224e-12 4.1095838537730245e-11 1.4356095522430334e-12 1.0064140042231884e-05 70 25
4.7925535068271685e-11 2.646597134156603e-12 4.7208601611226086e-11 2.0016885284718233e-12 1.006640013656579e-05 70 30
5.477294312550285e-11 3.122268069088996e-12 5.320806989450588e-11 2.2673998095745773e-12 1.0067829862236977e-05 70 35
6.244903899554899e-11 3.422999730884335e-12 5.972649458341195e-11 2.5353816268669505e-12 1.0068870324175805e-05 70 40
6.946429542686872e-11 3.4389917129284964e-12 6.58428381261622e-11 2.5668145994112157e-12 1.0069559721159749e-05 70 45
2.525247719264989e-11 1.983510144326628e-12 2.9055771677555242e-11 1.0771016240376796e-12 9.423827577847987e-06 75 15
3.2364604052315116e-11 1.8921977699981607e-12 3.4961148559498056e-11 1.0215579467412472e-12 9.428980774828233e-06 75 20
3.9676512075814685e-11 2.068663599794074e-12 4.081040019809912e-11 1.4335369913701101e-12 9.432495971850585e-06 75 25
4.686459206815208e-11 2.7025888037907064e-12 4.661603394962022e-11 1.929534440212044e-12 9.43471968639642e-06 75 30
5.4058185011696125e-11 2.9756396999203183e-12 5.2806113648440345e-11 2.1178421429762784e-12 9.436060281586833e-06 75 35
